species,taxid,organism_name,nirK_present,pcuac_present,class,nirK_rep_accession,pcuac_rep_accession,species_resolved
neisseria meningitidis,1053687;1069614;1069618;1095666;1095672;1095695;1095698;1145120;1145121;1145123;1145129;1145130;1145131;1145177;1145182;1145183;1145186;1145189;1145190;1245028;374833;487;1055328;1069608;1069622;1077282;1079752;1079755;1079756;1095681;1095682;1095689;1095690;1145160;1145161;1145162;1145167;1145181;1145184;1145185;1145188;1145191;1145192;1145193;1145194;1145195;1190570;1190571;1190576;1190579;122586;1739463;482;487;909420;935593;935594;935595;1069609;1069619;1069621;1095691;1095692;1095693;1095697;1095700;1145168;1145176;1145178;1190580;1307438;1307439;487;562020;935589;935591;935599;1069610;1069611;1069612;1069613;1069615;1069616;1095679;1095680;1172206;487;604162;1069610;487;662598;1069614;1095666;1095672;1095695;1095698;1145120;1145121;1145123;1145129;1145130;1145131;1145133;122587;487;1069617;1079753;1079754;1095665;1095668;1095669;1095670;1095671;1095673;1095675;1095676;1095677;1095678;1095683;1095684;1095685;1095686;1095687;1095688;1095694;1095696;1095699;1095701;1145122;1145124;1145125;1145126;1145128;1145132;1145133;1145134;1145135;1145136;1145137;1145138;1145139;1145140;1145141;1145143;1145144;1145145;1145146;1145147;1145149;1145150;1145151;1145152;1145153;1145154;1145155;1145156;1145158;1145166;1145169;1145170;1145171;1145173;1145174;1145175;1190572;1190573;1190575;1190578;1190581;1386084;272831;487;630588;768484;768485;862513;935586;935587;935590;942513;1069620;1069622;487;1069621;487;1079757;487;1095665;1095673;1095675;1095676;1095678;1095694;1095696;1145124;1145125;1145126;1145128;1145132;1145134;1145135;1145136;1145137;487;942513;1095667;487;1095668;1095669;1095670;1095671;1095677;1145122;1145138;1145139;1145140;1145141;1145143;1145144;487;1095679;1095680;1095681;1095682;1095689;1095690;1095701;1145160;1145161;1145162;1190570;1190571;1190576;1190579;122586;487;909420;935597;1095685;1095686;1145166;1145170;1145173;1145174;487;1095691;1095692;1095693;1095697;1145178;1145180;487;1095699;487;1145146;487;1145159;487;1145168;1145176;1906581;482;487;1145177;487;1145180;487;1190569;487;1190572;1190573;1190575;1190578;1190581;487;630588;935589;935591;122587;2937985;482;487;489;1386084;487;1906581;2830648;482;487;489;933269;482;487;933280;487;487;562020;487;662598;487;862513;487;935588;487;935590;935594,Neisseria meningitidis,1,1,both,WP_002258661.1,WP_002212839.1,1
cutibacterium acnes,1031709;1182749;1292038;1302634;1302635;1302636;1734925;1747;1091045;1226748;1747;1905725;1912216;2899272;679194;765079;765080;1114966;1114969;1136877;1747;1912216;2965101;3413432;765064;765069;765081;765083;765088;765090;765091;765092;765094;765102;765104;765110;765111;765114;765115;765122;1114967;1747;1122995;1747;679195;765074;765075;1134454;1734925;1747;553199;679193;765058;765063;765066;765068;765072;765073;765076;765085;765087;765093;765096;765118;765119;1182750;1747;1182751;1747;1182752;1249619;1276648;1302637;1302638;1734925;1747;1912216;3412787;765057;765065;765070;765082;765097;765098;765106;765107;765112;765113;765116;765117;909952;1234380;1747;1249616;1249617;1302640;1747;1905725;765061;765084;765121;1249618;1302639;1747;1249620;1747;1276649;1747;765071;1292039;1747;1734925;1747;1734925;1747;1905725;1734925;1747;267747;1747;1747;1905725;1747;686659;765067;765077;765078;765086;765089;1747;765095;1747;765099;1747;765100;1747;765101;1747;765103;1747;765105;1747;765108;1747;765120,Cutibacterium acnes,1,0,nirK_only,WP_002512805.1,NA,1
cutibacterium modestum,1182753;1182754;1912223;2559073;765109;765123;765124;999892;1182755;2559073;2559073,Cutibacterium modestum 31N;Cutibacterium modestum,1,0,nirK_only,WP_002529289.1,NA,1
[propionibacterium] namnetense,1051006;1574624,[Propionibacterium] namnetense SK182B-JCVI;Cutibacterium namnetense,1,0,nirK_only,WP_002550210.1,NA,1
simonsiella muelleri,641147;72;72,Simonsiella muelleri,1,1,both,WP_002642011.1,WP_002641845.1,1
capnocytophaga gingivalis,1017;1017;553178,Capnocytophaga gingivalis,1,0,nirK_only,WP_002668532.1,NA,1
leptospira terpstrae,1257025;293075;293075,Leptospira terpstrae,1,0,nirK_only,WP_002973135.1,NA,1
chryseobacterium gleum,1241978;250;253;2758092;525257;59732;651561,Chryseobacterium gleum;Chryseobacterium indologenes;Chryseobacterium;Chryseobacterium gleum ATCC 35910;Chryseobacterium arthrosphaerae;Chryseobacterium bernardetii;Chryseobacterium sp. Marseille-Q3244,1,0,nirK_only,WP_002978658.1,NA,1
leptospira vanthielii,1218591;293085,Leptospira vanthielii;Leptospira vanthielii serovar Holland str. Waz Holland = ATCC 700522,1,0,nirK_only,WP_002989209.1,NA,1
myroides odoratus,256;256;883155;929704,Myroides odoratus,1,0,nirK_only,WP_002990319.1,NA,1
moraxella catarrhalis,1236608;1715217;475;480;749219;857571;857572;857573;857574;857575;857576;857579;857581;3344666;475;480;480;480;857578,Moraxella catarrhalis,1,0,nirK_only,WP_003656881.1,NA,1
neisseria cinerea,1190569;192066;2830646;2830647;2830648;2830768;482;483;486;487;489;869214;1871108;482;483;1871108;482;483;546262;482;483;487;483;483;546262,Neisseria cinerea,1,1,both,WP_311397790.1,WP_003674857.1,1
neisseria flavescens,1715080;1715140;1715175;1739282;1739328;1739332;1739338;1739375;1739384;1739456;192066;237778;28449;2972775;3003682;33053;3436658;3436659;3436665;3436666;3436667;3436668;3436669;3436670;3436671;3436672;3436673;3436674;3436682;3436687;3436688;3436699;3436708;3436714;3436732;3436771;3436772;3436774;3436775;3436777;3436778;3436779;3436780;3436782;3436783;3436784;3436785;3436798;3436817;3436819;3436820;3436821;3436822;482;484;546268;1739301;192066;28449;3003680;3436692;3436693;3436799;482;484;486;1739376;28449;482;484;1739524;237778;28449;3003683;3436810;482;484;192066;482;484;546264;28449;33053;482;484;28449;3436771;3436772;3436774;3436775;482;484;484;484;546264,Neisseria flavescens,1,1,both,WP_480210362.1,WP_003681960.1,1
neisseria gonorrhoeae,1069620;1079757;482;485;487;935597;1193404;1247414;1351774;1351775;1351776;1351777;1351778;1351779;1351780;1351781;1351782;1351783;1351784;1351785;1351786;1351787;1351788;1351790;1351791;1351792;1351793;1351794;1351795;1351796;1351798;1351799;1351800;1351803;1351804;1351805;1351806;1351807;1351808;1351809;1351810;1351811;1351812;1351815;1351816;1352347;1352513;1352514;1352515;1352519;1352520;1352521;1352522;1352525;1352526;1352527;1352528;1352529;1352530;1352532;1352533;485;521006;528345;528346;528347;528348;528352;528353;528354;528356;528357;528358;528359;1193404;1247414;1351774;1351779;1351785;1351791;1351792;1351795;1351800;1351804;1351805;1351806;1351807;1351815;1352347;482;485;487;521006;528359;1351775;1351777;1351782;1351786;1351789;1351790;1351797;1351801;1351814;1351816;1352514;1352522;1352529;485;528345;528347;528355;528357;1351776;1351778;1351781;1351783;1351787;1351794;1351798;1351803;1351809;1351810;1351811;1351812;1352515;1352519;1352521;1352525;1352530;1352532;482;485;487;528346;528354;1351780;485;1351784;1351788;1351793;1351796;1352528;485;1351789;1351797;1351801;1352518;242231;485;528351;528355;528360;1351799;485;1351808;485;528358;1352513;1352520;485;1352518;485;1352526;485;1352527;485;1352533;242231;482;485;487;528351;242231;485;485;485;528348;528353;528356;485;528352,Neisseria gonorrhoeae,1,1,both,WP_003694026.1,WP_002225039.1,1
neisseria lactamica,1715080;1871109;192066;482;486;1906581;482;486;489;3391057;482;486;487;489;489653;546265;3391057;482;486;489653;482;486;487;482;486;487;489;486;486;546265;486;869214;486;933280,Neisseria lactamica,1,1,both,WP_003754565.1,WP_003708638.1,1
neisseria mucosa,1056807;1095748;1715205;1739542;192066;481;488;490;547045;665946;997348;1056807;481;488;1581049;192066;3077724;482;488;490;1715052;482;488;1715190;3436738;3436740;3436741;3436743;3436745;3436781;3436782;435832;482;488;1715190;435832;482;488;28449;482;488;2866585;3388843;482;488;490;482;488;490;482;488;490;546266;482;488;997348;488;488;546266,Neisseria mucosa,1,1,both,WP_039862803.1,WP_003744919.1,1
neisseria sicca,1095748;490;1581124;1608896;482;490;1581124;1739411;1739458;482;490;1581124;1739458;482;490;1715052;192066;482;490;490;490;547045;490;933266,Neisseria sicca,1,1,both,WP_003764092.1,WP_016686255.1,1
neisseria elongata,214482;495;3436707;482;495;495;495;546263;88719;495;88719;495;90367,Neisseria elongata,1,1,both,WP_049249904.1,WP_049249159.1,1
kingella denitrificans,502;502;888741,Kingella denitrificans,1,1,both,WP_003781971.1,WP_003781170.1,1
kingella kingae,1150867;1305771;1305781;1305787;1305788;1305792;1348237;1348240;1348241;504;1150867;1305781;504;1188007;1305590;1305593;1305594;1305595;1305774;1305775;1305776;1305778;1305782;1305783;1305786;1305789;1305790;1305791;1305792;1305793;1305795;1348238;1348240;1348241;1348242;504;887327;1188007;1305592;1305782;1305786;1305795;504;1305590;1305593;1305594;1305778;1305780;1305789;1305790;1305794;1348238;1348242;504;1305592;504;1305595;1305776;1305791;504;1305771;1305787;1305788;504;1305773;1305784;1305785;1305797;504;1305774;504;1305775;1305783;504;887327;1305780;504;1305793;504;1305794;504;504,Kingella kingae,1,1,both,WP_003786767.1,WP_003785840.1,1
kingella oralis,159270;505;629741;2796361;32257;505;2796361;32257;505;629741;505,Kingella oralis,1,1,both,WP_325313872.1,WP_003796576.1,1
burkholderia mallei,111527;1249470;1249473;1306420;1306421;13373;1382516;1382519;1382520;1382521;1434195;1434202;1434204;1434208;1435362;1435371;1435373;1435986;1436037;1436051;1436065;1439858;1439859;243160;28450;320388;320389;320390;334802;334803;370895;412021;412022;436115;13373,Burkholderia mallei,1,0,nirK_only,WP_004200986.1,NA,1
neisseria weaveri,1051972;1051985;28091;28091,Neisseria weaveri,1,1,both,WP_004282838.1,WP_036494243.1,1
neisseria subflava,1581107;192066;28449;3273402;3436646;3436647;3436650;3436651;3436652;3436653;3436654;3436701;3436712;3436717;3436820;482;1581107;28449;3436701;482;1715040;1715140;1715175;1739328;1739332;1739456;237778;28449;33053;3436687;3436688;3436692;3436693;3436699;3436708;3436714;3436750;3436754;3436755;3436777;3436778;3436779;3436780;3436782;3436783;3436784;3436785;3436798;3436827;3436831;3436832;3436834;3436835;3436846;3436850;482;546268;1715075;192066;28449;3436846;3436850;482;1715112;1739369;237778;28449;3436697;3436787;3436788;3436789;3436790;3436792;3436810;482;192066;237778;28449;482;192066;28449;482;237778;28449;237778;28449;3003681;482;28449;28449;3077590;482;28449;3436808;482,Neisseria subflava,1,1,both,WP_137040440.1,WP_070461423.1,1
burkholderia pseudomallei,1085027;1436043;28450;441154;884204;1086033;28450;1086034;28450;1086036;1262664;1306417;1321258;1321259;1343557;1343558;1343559;1343560;1343562;1343565;1436055;1436067;1436068;1436069;28450;1229785;1249471;1249474;1249476;1249658;1290412;1290413;1290414;1290415;1321250;1321252;1321254;1321257;1321260;1408264;1434192;1434193;1434203;1434925;1435048;1435049;1435997;1436050;1436053;1436058;1436059;1436060;28450;320374;357347;357348;1241583;28450;1247713;1249472;1436054;1436066;1439860;1439861;28450;331109;1249468;1249469;1306418;1306419;1321246;1321247;1321253;1321255;1343079;1434194;1434196;1434197;1434198;1434201;1434209;1434211;1434932;1435367;1435369;1435374;1435983;1435989;1435991;1435992;1436038;1436039;1436041;1436047;2020481;2020482;2020483;2020484;272560;28450;32008;320371;320372;331978;536230;595498;1249475;28450;1249477;1321249;1321251;1436040;1436045;1436061;1436062;1437001;28450;320373;1249659;1335307;1435982;28450;425067;1321245;28450;441152;1321248;1435984;1435987;1435994;1437003;1437004;28450;1434199;28450;1434200;28450;1434205;28450;1434206;1434928;1434930;1435364;1435370;1435372;1435993;1435998;28450;1434207;28450;1434210;1435365;28450;1434926;28450;1434931;28450;1435050;28450;1435363;28450;1435990;28450;1435995;28450;1435996;1439852;1439854;1439855;1439856;1439857;28450;1436042;28450;1436044;28450;1436052;28450;360118;1436056;28450;1436999;28450;1437000;28450;1437002;28450;1437005;28450;28450;28450;441156;28450;557724;28450;797300,Burkholderia pseudomallei,1,0,nirK_only,WP_004528780.1,NA,1
marinobacter nanhaiticus,1305740;626887,Marinobacter nanhaiticus D15-8W;Marinobacter nanhaiticus,1,1,both,WP_004579141.1,WP_051079768.1,1
ralstonia pickettii,114715;1264675;2015562;3063544;329;48736;54061;1218114;1502763;2675750;2836825;3043851;329;3448079;3475252;48736;54061;658080;1218114;3043851;329;3475252;48736;54061;1502763;2502217;2675750;3035138;3035140;3035142;3035146;3035147;3035152;3035153;3058596;3231757;329;3379822;3448079;3471680;48736;658080;2219865;2937884;3058602;329;48736;2502217;3035138;3035140;3035142;3035146;3035147;3035152;3035153;3058596;3231757;329;3379822;3471672;3471673;3471674;3471675;3471676;3471677;3471678;3471679;3471680;3471681;48736;2937884;2957504;3058602;329;48736;329;329;3471672;3471673;3471674;3471675;3471676;3471677;3471678;3471679;3471681;48736;329;48736;54061,Ralstonia pickettii;Ralstonia;Ralstonia sp. 110700041-2;Ralstonia sp. 110760020-1;Ralstonia sp. 092160068-1;Ralstonia sp. 092160072-1;Ralstonia sp. 101480038-1;Ralstonia sp. 101480035-1;Ralstonia sp. 102690001-2;Ralstonia sp. 101120021-1;Ralstonia sp. 100540015-2,1,1,both,WP_004627825.1,WP_004628248.1,1
leptospira meyeri,1193051;29508;29508,Leptospira meyeri,1,0,nirK_only,WP_004785058.1,NA,1
cutibacterium avidum,1170318;33010;1292372;33010;1912216;33010;3414745;3414746;1912216;33010;3414753;1912216;33010;3414761;33010;33010;997355,Cutibacterium avidum;Cutibacterium;Cutibacterium sp. LaCa_87;Cutibacterium sp. LaCa_89,1,0,nirK_only,WP_004810212.1,NA,1
rothia mucilaginosa,1739269;32207;43675;316088;43675;43675;43675;553201;43675;563033;43675;680646,Rothia mucilaginosa,1,0,nirK_only,WP_005507309.1,NA,1
actinobacillus pleuropneumoniae,1224142;537457;715;754262;1628140;715;228399;715;416269;715;434271;715;715;715;754254;871925;715;754255;715;754256;715;754257;715;754258;754260;715;754259;715;754261;715;754345;715;871925,Actinobacillus pleuropneumoniae,1,0,nirK_only,WP_005603140.1,NA,1
actinobacillus ureae,723;723;887324,Actinobacillus ureae,1,0,nirK_only,WP_005622175.1,NA,1
mycolicibacterium hassiacum,1122247;46351;46351,Mycolicibacterium hassiacum,1,0,nirK_only,WP_005627969.1,NA,1
haemophilus parainfluenzae,1095745;1095746;729;1715211;724;729;740;1739452;724;729;237779;3042471;3568212;3568213;724;729;237779;724;729;740;237779;729;237779;729;888828;729;729;862965,Haemophilus parainfluenzae,1,0,nirK_only,WP_005696355.1,NA,1
haemophilus paraphrohaemolyticus,1095743;736;2866580;724;736;724;736;740;736,Haemophilus paraphrohaemolyticus,1,0,nirK_only,WP_005707720.1,NA,1
pasteurella bettyae,1095749;752;752,Pasteurella bettyae,1,0,nirK_only,WP_005760138.1,NA,1
actinobacillus minor,51047;51047;591023;51047;637911,Actinobacillus minor,1,0,nirK_only,WP_005820603.1,NA,1
gordonia hirsuta,1121927;53427,Gordonia hirsuta;Gordonia hirsuta DSM 44140 = NBRC 16056,1,0,nirK_only,WP_005938634.1,NA,1
actinomyces graevenitzii,1321817;55565;435830;55565;55565,Actinomyces graevenitzii,1,0,nirK_only,WP_021603804.1,NA,1
burkholderia humptydooensis,430531;430531;441157,Burkholderia humptydooensis,1,0,nirK_only,WP_006028856.1,NA,1
streptomyces griseoaurantiacus,1883;3028672;3028684;68213;1883;462922;68213;68213;68213;996637,Streptomyces griseoaurantiacus,1,0,nirK_only,WP_006144378.1,NA,1
myroides odoratimimus,1324934;76832;1416760;76832;883152;1458492;76831;76832;883153;1583100;76831;76832;883150;76832;76832;883151;76832;883154,Myroides odoratimimus,1,0,nirK_only,WP_006260290.1,NA,1
parascardovia denticolens,1193128;78258;641144;78258;864564;78258,Parascardovia denticolens,1,0,nirK_only,WP_006289029.1,NA,1
herbaspirillum frisingense,1953765;92645;963;2058884;92645;963;864073;92645;92645,Herbaspirillum frisingense,1,1,both,WP_006462484.1,WP_006461503.1,1
austwickia chelonae,100225;100225;1184607,Austwickia chelonae,1,0,nirK_only,WP_006503556.1,NA,1
kineosphaera limosa,111564;1184609,Kineosphaera limosa;Kineosphaera limosa NBRC 100340,1,0,nirK_only,WP_006594839.1,NA,1
rothia aeria,1125724;172042;172042;172042;2419514;32207;172042;2419515;32207;172042;888019,Rothia aeria,1,0,nirK_only,WP_006887838.1,NA,1
thermaerobacter subterraneus,175696;867903,Thermaerobacter subterraneus;Thermaerobacter subterraneus DSM 13965,1,0,nirK_only,WP_006903597.1,NA,1
chthoniobacter flavus,191863;497964,Chthoniobacter flavus;Chthoniobacter flavus Ellin428,1,0,nirK_only,WP_006980565.1,NA,1
gillisia limnaea,195907;865937,Gillisia limnaea;Gillisia limnaea DSM 15749,1,0,nirK_only,WP_006987263.1,NA,1
rhodanobacter fulvus,1163408;219571,Rhodanobacter fulvus;Rhodanobacter fulvus Jip2,1,1,both,WP_040670200.1,WP_007079879.1,1
scardovia wiggsiae,230143;230143;857290,Scardovia wiggsiae,1,0,nirK_only,WP_007147421.1,NA,1
haemophilus pittmaniae,1035188;249188;249188,Haemophilus pittmaniae,1,0,nirK_only,WP_007243346.1,NA,1
paeniglutamicibacter gangotriensis,1276920;254787;254787,Paeniglutamicibacter gangotriensis,1,0,nirK_only,WP_007271326.1,NA,1
neisseria bacilliformis,267212;267212;888742,Neisseria bacilliformis,1,1,both,WP_007343344.1,WP_040658738.1,1
psychrobacter sanguinis,861445,Psychrobacter sanguinis,1,0,nirK_only,WP_227673754.1,NA,1
rhodanobacter denitrificans,1076523;666685;75309;1076524;666685;75309;666685,Rhodanobacter denitrificans,1,0,nirK_only,WP_114345110.1,NA,1
paraglaciecola arctica,1128911;493475,Paraglaciecola arctica BSs20135;Paraglaciecola arctica,1,1,both,WP_007623603.1,WP_007615783.1,1
xanthomarina gelatinilytica,1137281;1137281;1868329;1868331;1931211,Xanthomarina gelatinilytica,1,0,nirK_only,WP_007650306.1,NA,1
rhodanobacter spathiphylli,1163407;347483,Rhodanobacter spathiphylli;Rhodanobacter spathiphylli B39,1,0,nirK_only,WP_007808207.1,NA,1
rhodanobacter glycinis,1162282;582702;75309;582702,Rhodanobacter glycinis,1,1,both,WP_140648341.1,WP_140654545.1,1
brevundimonas mediterranea,1871086;391600;41275;74329;74329,Brevundimonas mediterranea,1,0,nirK_only,WP_008262185.1,NA,1
rhodanobacter thiooxydans,1163409;416169;2778647;416169;75309;3454845;416169;75309;416169,Rhodanobacter;Rhodanobacter thiooxydans;Rhodanobacter sp. FW106-PBR-R2A-1-13,1,0,nirK_only,WP_108470401.1,NA,1
bizionia argentinensis,1046627;456455,Bizionia argentinensis;Bizionia argentinensis JUB59,1,0,nirK_only,WP_008635545.1,NA,1
galbibacter marinus,555500,Galbibacter marinus,1,0,nirK_only,WP_008991078.1,NA,1
indibacter alkaliphilus,1189612;579922,Indibacter alkaliphilus;Indibacter alkaliphilus LW1,1,0,nirK_only,WP_009034377.1,NA,1
saccharomonospora marina,632569;882083,Saccharomonospora marina;Saccharomonospora marina XMU15,1,0,nirK_only,WP_009156229.1,NA,1
cecembia lonarensis,1225176;645110,Cecembia lonarensis;Cecembia lonarensis LW9,1,0,nirK_only,WP_009184423.1,NA,1
capnocytophaga leadbetteri,1016;2545799;327575;706436;327575,Capnocytophaga leadbetteri,1,0,nirK_only,WP_009389849.1,NA,1
unclassified neisseria,1127694;2623750;3373603;3374307;655307;1715031;1739544;2623750;1715037;1715154;2623750;1715040;1715047;1715148;1739476;2623750;3436710;3436758;3436765;1715047;1739301;2623750;3436710;3436758;3436765;1715075;1739376;2623750;1715085;1715112;1739539;2623750;3436787;3436788;3436789;3436790;3436792;3436827;3436831;3436832;3436834;3436835;1715085;1739539;2623750;1715087;2623750;3436750;3436754;3436755;1715148;1739476;2623750;1739338;1739375;1739384;2623750;1739369;2623750;3436649;1739524;192066;2623750;3003683;192066;2623750;3388843;2558283;2623750;2782469;2623750;3003680;3436682;2623750;3003681;3436649;2623750;3061168;3061169;3061170;2623750;3273402;3436646;3436647;3436650;3436651;3436652;3436653;3436654;2623750;3436658;3436659;3436732;2623750;3436711;3436715;2623750;3436711;3436715;3436835;2623750;3436712;3436717;2623750;3436738;3436740;3436741;3436743;3436745;3436781;3436782;2623750;3436748;3436752;2623750;3436817;3436819;3436820;3436821;3436822,unclassified Neisseria;Neisseria sp. P0014.S002;Neisseria sp. P0014.S006,1,1,both,WP_415771841.1,WP_003683197.1,1
mobilicoccus pelagius,1089455;746032,Mobilicoccus pelagius;Mobilicoccus pelagius NBRC 104925,1,0,nirK_only,WP_009482176.1,NA,1
fulvivirga imtechensis,1237149;881893,Fulvivirga imtechensis;Fulvivirga imtechensis AK7,1,0,nirK_only,WP_009580742.1,NA,1
capnocytophaga granulosa,1016;45242;936370;45242;45242;641143,Capnocytophaga granulosa,1,0,nirK_only,WP_009642115.1,NA,1
burkholderia thailandensis,1241582;1249660;1249662;1249665;1249666;1249667;1250339;1436064;271848;441164;57975;1249663;441165;57975;869728;1249664;57975;57975,Burkholderia thailandensis,1,0,nirK_only,WP_009896214.1,NA,1
burkholderia oklahomensis,342113;342113;441162;441163,Burkholderia oklahomensis,1,0,nirK_only,WP_010109437.1,NA,1
serinicoccus profundi,1043205;1078471,Serinicoccus profundi MCCC 1A05965;Serinicoccus profundi,1,0,nirK_only,WP_010146615.1,NA,1
brachybacterium paraconglomeratum,1064537;173362;1704590;173362;43668;173362,Brachybacterium paraconglomeratum,1,1,both,WP_345082337.1,WP_010552114.1,1
leptospira broomii,1049789;301541,Leptospira broomii;Leptospira broomii serovar Hurstbridge str. 5399,1,0,nirK_only,WP_010568962.1,NA,1
rhodococcus ruber,1219025;1240349;1827;1830;2907624;3003588;3047468;3119531;3392190;3434112;3473797;3475172;450821;1827;1830;1831;1830,Rhodococcus ruber,1,0,nirK_only,WP_010594453.1,NA,1
brucella anthropi,1151114;234;255457;2886044;3075479;3075482;3381346;529;1201037;529;255457;2826938;2856166;2986424;529;2826938;2856166;2986424;439375;529;439375;529;529,Brucella anthropi,1,1,both,WP_010661462.1,WP_010657863.1,1
lunatimonas lonarensis,1232681,Lunatimonas lonarensis,1,0,nirK_only,WP_010855652.1,NA,1
bdellovibrio bacteriovorus,1069642;3379853;958;264462;959;28201;958;959;3391182;958;959;959,Bdellovibrio bacteriovorus,1,0,nirK_only,WP_063209745.1,NA,1
pseudoalteromonas nigrifaciens,114053;1434839;166935;2760929;2760960;2792047;28109;2820756;3071082;3140420;3140421;3140422;3140423;3140424;3140425;3140426;3140427;3140430;3140440;3140486;53246;182141;28109;2951137;53246;28109;28109;53246;53249,Pseudoalteromonas nigrifaciens;Pseudoalteromonas;Pseudoalteromonas prydzensis;Pseudoalteromonas sp. KG3,1,1,both,WP_011328157.1,WP_192543017.1,1
nitrosospira multiformis,1231;1231;323848,Nitrosospira multiformis,1,0,nirK_only,WP_011381313.1,NA,1
unclassified nocardioides,196162;2003120;2615069;2615069;3273410;3406465,unclassified Nocardioides;Nocardioides sp. GCM10030259;Nocardioides sp. CPCC 206349,1,0,nirK_only,WP_011755556.1,NA,1
polaromonas naphthalenivorans,216465;365044,Polaromonas naphthalenivorans;Polaromonas naphthalenivorans CJ2,1,1,both,WP_011800732.1,WP_011800915.1,1
mycolicibacterium gilvum,1804;1804;1866885;2853535;1804;278137,Mycolicibacterium gilvum,1,0,nirK_only,WP_011894347.1,NA,1
flavobacterium johnsoniae,237;3453866;3453953;986;376686;986;986,Flavobacterium johnsoniae,1,0,nirK_only,WP_012024484.1,NA,1
actinobacillus succinogenes,339671;67854;67854;712;908285,Pasteurellaceae;Actinobacillus succinogenes;Necropsobacter rosorum,1,0,nirK_only,WP_012072723.1,NA,1
parvibaculum lavamentivorans,256618;402881,Parvibaculum lavamentivorans;Parvibaculum lavamentivorans DS-1,1,0,nirK_only,WP_012109888.1,NA,1
candidatus neomicrothrix,1229780;2719034;41949;1231054;2719034;41949;2719034,Candidatus Neomicrothrix sp.,1,0,nirK_only,WP_289010869.1,NA,1
chloroflexus aurantiacus,1107;1108;1904827;324602;1108,Chloroflexus aurantiacus,1,1,both,WP_012257443.1,WP_012256469.1,1
leptospira biflexa,172;172;355278;456481,Leptospira biflexa,1,0,nirK_only,WP_012476189.1,NA,1
phenylobacterium zucineum,284016;450851,Phenylobacterium zucineum;Phenylobacterium zucineum HLK1,1,1,both,WP_012521176.1,WP_012520897.1,1
afipia carboxidovorans,1031710;40137;504832;40137,Afipia carboxidovorans,1,0,nirK_only,WP_012564379.1,NA,1
corynebacterium kroppenstedtii,161879;161879;1716;3092263;3092265;3462567;161879;645127,Corynebacterium kroppenstedtii,1,0,nirK_only,WP_012730792.1,NA,1
jonesia denitrificans,43674;471856,Jonesia denitrificans;Jonesia denitrificans DSM 20603,1,0,nirK_only,WP_012805930.1,NA,1
rhodothermus marinus,29549;29549;518766;29549;762569;762570,Rhodothermus marinus,1,0,nirK_only,WP_012843710.1,NA,1
sphaerobacter thermophilus,2057;2057;479434,Sphaerobacter thermophilus,1,1,both,WP_012870640.1,WP_169308167.1,1
thermobaculum terrenum,166501;525904,Thermobaculum terrenum;Thermobaculum terrenum ATCC BAA-798,1,1,both,WP_012876081.1,WP_012874468.1,1
streptosporangium roseum,2001;2001;479432,Streptosporangium roseum,1,0,nirK_only,WP_012890895.1,NA,1
caulobacter segnis,509190;88688;88688,Caulobacter segnis,1,1,both,WP_013080130.1,WP_454718248.1,1
cellulomonas flavigena,1711;446466,Cellulomonas flavigena;Cellulomonas flavigena DSM 20109,1,0,nirK_only,WP_013116999.1,NA,1
propionibacterium freudenreichii,1744;1744;1749;31957;1744;1752;1744;1752;66712;754252;1744;66712,Propionibacterium freudenreichii,1,0,nirK_only,WP_044636495.1,NA,1
ralstonia solanacearum,1031711;1431453;305;1091042;305;3116862;3119586;1310167;1310168;1944648;28097;305;3116862;859657;1310167;305;3116862;305;305;3116862;3119581;3119582;3119583;3119584;342110;564065;564066;305;3116862;3119581;3119582;3119583;3119584;564066;305;342110;305;564065;305;859656;305;859657;3119585,Ralstonia solanacearum species complex bacterium KE056,1,1,both,WP_013207410.1,WP_003263011.1,1
glutamicibacter arilaitensis,1742989;1931995;256701;1742989;1931995;256701;861360;256701,Glutamicibacter arilaitensis,1,0,nirK_only,WP_442347533.1,NA,1
rothia dentocariosa,2047;2047;563032;2047;762948,Rothia dentocariosa,1,0,nirK_only,WP_013398314.1,NA,1
marivirga tractuosa,1006;1006;643867,Marivirga tractuosa,1,0,nirK_only,WP_013454821.1,NA,1
intrasporangium calvum,53358;53358;710696,Intrasporangium calvum,1,0,nirK_only,WP_013494195.1,NA,1
pseudoxanthomonas suwonensis,314722;314722;743721;314722;935566;314722;935567;935568,Pseudoxanthomonas suwonensis,1,0,nirK_only,WP_024867522.1,NA,1
gallibacterium anatis,1005058;750;1121910;750;1195244;750;1396510;750;1396511;750;1396512;750;1396513;750;1396514;750;1396515;750;750,Gallibacterium anatis,1,0,nirK_only,WP_013746551.1,NA,1
cellulomonas fimi,1708;1708;590998,Cellulomonas fimi,1,0,nirK_only,WP_013770499.1,NA,1
cellulomonas gilvus,11;593907,Cellulomonas gilvus;Cellulomonas gilvus ATCC 13127,1,0,nirK_only,WP_013884266.1,NA,1
flagellimonas ruestringensis,111501;886377,Flagellimonas ruestringensis;Allomuricauda ruestringensis DSM 13258,1,0,nirK_only,WP_014033983.1,NA,1
flavobacterium columnare,1041826;996;1218111;996;237;2906076;3463858;996;237;2906076;996;237;2906077;996;996,Flavobacterium columnare,1,0,nirK_only,WP_014164441.1,NA,1
azospirillum baldaniorum,1064539,Azospirillum baldaniorum,1,1,both,WP_014198947.1,WP_041814693.1,1
